message_delivered_at,message_body,to_user_role,from_user_role
2021-07-11 22:40:52.902 UTC,,passenger,driver
2021-09-22 20:20:15.437 UTC,Stuck in traffic,passenger,driver
2021-11-20 01:37:16.944 UTC,is it the Nissan dealership?,passenger,driver
2021-11-11 04:38:11.339 UTC,Sounds good,passenger,driver
2021-11-22 23:06:37.029 UTC,Sounds good,passenger,driver
2021-10-21 02:08:25.550 UTC,at the magic time machine?,passenger,driver
2021-07-30 02:20:42.454 UTC,,passenger,driver
2021-11-13 04:20:17.665 UTC,"he has to meet me at rideshare pickup, police won't let me to that address",passenger,driver
2021-10-24 00:24:09.774 UTC,yes,passenger,driver
2021-09-05 01:31:48.109 UTC,I'll be there ASAP,passenger,driver
2021-11-18 06:50:56.647 UTC,Sounds good,passenger,driver
2021-08-20 02:08:25.665 UTC,Sounds good,passenger,driver
2021-10-11 20:00:14.529 UTC,I can't,passenger,driver
2021-10-05 22:53:30.647 UTC,Sounds good,passenger,driver
2021-11-24 04:31:31.561 UTC,"Gate code, please?",passenger,driver
2021-11-11 01:20:46.562 UTC,Sounds good,passenger,driver
2021-11-14 00:27:49.385 UTC,Sounds good,passenger,driver
2021-10-24 00:23:01.425 UTC,"Gate code, please?",passenger,driver
2021-08-02 22:54:30.823 UTC,,passenger,driver
2021-11-28 00:06:49.333 UTC,yee,passenger,driver
2021-10-08 01:12:23.228 UTC,"yes, I can come around back if you like",passenger,driver
2021-11-08 22:42:48.956 UTC,Sounds good,passenger,driver
2021-11-13 04:29:12.806 UTC,I have to loop around I might be a few minutes,passenger,driver
2021-11-27 02:20:29.269 UTC,"I'm out front across the street, hazard lights on",passenger,driver
2021-08-30 19:56:06.900 UTC,"Hi, where are you?",passenger,driver
2021-07-02 04:07:03.771 UTC,,passenger,driver
2021-10-05 21:11:09.556 UTC,"gate code, please?",passenger,driver
2021-07-02 18:40:21.638 UTC,,passenger,driver
2021-09-17 04:01:36.735 UTC,On my way,passenger,driver
2021-10-05 21:15:33.018 UTC,OK,passenger,driver
2021-11-28 02:56:21.961 UTC,"Gate code, please?",passenger,driver
2021-11-09 22:24:13.292 UTC,Sounds good,passenger,driver
2021-08-25 22:28:50.451 UTC,OK,passenger,driver
2021-11-13 04:16:30.807 UTC,"Police are controlling traffic out of the stadium, I'll turn around",passenger,driver
2021-10-21 02:04:14.954 UTC,OK,passenger,driver
2021-10-21 02:08:06.534 UTC,Sounds good,passenger,driver
2021-09-18 03:33:55.791 UTC,Sounds good,passenger,driver
2021-11-12 01:07:12.011 UTC,Sounds good,passenger,driver
2021-11-13 04:31:10.725 UTC,"I can only come from the Northside of att center drive to enter the ride share lot, I have to go a few miles north to get to the proper exit, on my way",passenger,driver
2021-08-30 19:56:03.728 UTC,"I'm your driver, Ryan",passenger,driver
2021-10-17 01:12:18.685 UTC,"I can't get pictures in the app, I'll find her",passenger,driver
2021-07-21 21:31:50.143 UTC,,passenger,driver
2021-07-10 23:44:58.519 UTC,,passenger,driver
2021-10-16 20:36:29.174 UTC,OK,passenger,driver
2021-07-08 03:28:09.264 UTC,,passenger,driver
2021-11-12 00:04:51.299 UTC,"Gate code, please?",passenger,driver
2021-07-03 23:42:49.168 UTC,,passenger,driver
2021-10-20 03:00:52.358 UTC,OK,passenger,driver
2021-09-18 23:31:48.294 UTC,I'm outside unit 1901,passenger,driver
2021-07-17 21:55:37.268 UTC,,passenger,driver
2021-08-25 17:54:58.216 UTC,Sounds good,passenger,driver
2021-09-02 19:52:24.580 UTC,JC food Mart in the 99cent I my shopping center,passenger,driver
2021-07-08 02:16:05.489 UTC,,passenger,driver
2021-11-11 03:53:29.591 UTC,"Gate code, please?",passenger,driver
2021-07-15 21:43:55.618 UTC,,passenger,driver
2021-11-20 01:39:56.505 UTC,"gps screwed me, be right there",passenger,driver
2021-07-02 18:40:18.376 UTC,,passenger,driver
2021-08-21 17:01:28.120 UTC,"I'm your driver, Ryan",passenger,driver
2021-10-10 23:27:41.159 UTC,"I'm at the valet entrance, thank you",passenger,driver
2021-08-04 04:10:33.874 UTC,,passenger,driver
2021-11-19 06:37:30.284 UTC,"Hi, where are you?",passenger,driver
2021-10-08 21:01:13.916 UTC,"Hi, where are you?",passenger,driver
2021-07-07 21:39:43.852 UTC,,passenger,driver
2021-11-13 04:25:55.753 UTC,Sounds good,passenger,driver
2021-08-25 20:17:56.332 UTC,Sounds good,passenger,driver
2021-07-11 22:40:40.904 UTC,,passenger,driver
2021-10-10 21:55:42.630 UTC,Sounds good,passenger,driver
